,0
789,120.0
790,122.0
791,123.0
792,124.0
793,125.0
794,126.0
795,127.0
796,129.0
797,130.0
798,131.0
799,133.0
800,134.0
801,135.0
802,135.0
803,135.0
804,135.0
805,136.0
806,136.0
807,138.0
808,140.0
809,142.0
810,143.0
811,143.0
812,143.0
813,143.0
814,143.0
815,141.0
816,139.0
817,137.0
818,135.0
819,135.0
820,136.0
821,134.0
822,131.0
823,130.0
824,127.0
825,127.0
826,127.0
827,128.0
828,128.0
829,130.0
830,131.0
831,133.0
832,133.0
833,134.0
834,135.0
835,136.0
836,138.0
837,140.0
838,140.0
839,140.0
840,139.0
841,139.0
842,140.0
843,141.0
844,143.0
845,145.0
846,147.0
847,147.0
848,145.0
849,144.0
850,142.0
851,140.0
852,138.0
853,135.0
854,134.0
855,134.0
856,135.0
857,134.0
858,129.0
859,126.0
860,127.0
861,128.0
862,125.0
863,123.0
864,122.0
865,121.0
866,122.0
867,125.0
868,127.0
869,126.0
870,125.0
871,126.0
872,128.0
873,130.0
874,132.0
875,133.0
876,134.0
877,136.0
878,139.0
879,142.0
880,145.0
881,148.0
882,150.0
883,152.0
884,154.0
885,155.0
886,155.0
887,156.0
888,157.0
889,157.0
890,158.0
891,159.0
892,160.0
893,160.0
894,160.0
895,158.0
896,155.0
897,153.0
898,151.0
899,150.0
900,149.0
901,147.0
902,146.0
903,145.0
904,144.0
905,144.0
906,144.0
907,144.0
908,142.0
909,140.0
910,137.0
911,135.0
912,134.0
913,133.0
914,133.0
915,131.0
916,130.0
917,129.0
918,129.0
919,130.0
920,131.0
921,133.0
922,133.0
923,132.0
924,132.0
925,132.0
926,133.0
927,134.0
928,136.0
929,137.0
930,140.0
931,143.0
932,145.0
933,148.0
934,150.0
935,151.0
936,151.0
937,152.0
938,153.0
939,154.0
940,153.0
941,150.0
942,147.0
943,146.0
944,144.0
945,143.0
946,143.0
947,145.0
948,146.0
949,146.0
950,145.0
951,144.0
952,143.0
953,143.0
954,142.0
955,140.0
956,139.0
957,137.0
958,136.0
959,135.0
960,133.0
961,130.0
962,130.0
963,131.0
964,133.0
965,135.0
966,138.0
967,141.0
968,144.0
969,147.0
970,151.0
971,154.0
972,156.0
973,157.0
974,159.0
975,159.0
976,161.0
977,162.0
978,162.0
979,162.0
980,163.0
981,163.0
982,162.0
983,162.0
984,163.0
985,164.0
986,165.0
987,165.0
988,165.0
989,166.0
990,165.0
991,166.0
992,166.0
993,166.0
994,167.0
995,167.0
996,166.0
997,166.0
998,165.0
999,164.0
1000,162.0
1001,161.0
1002,160.0
1003,158.0
1004,157.0
1005,156.0
1006,156.0
1007,156.0
1008,157.0
1009,157.0
1010,157.0
1011,158.0
1012,159.0
1013,161.0
1014,162.0
1015,164.0
1016,165.0
1017,164.0
1018,163.0
1019,162.0
1020,161.0
1021,159.0
1022,156.0
1023,155.0
1024,153.0
1025,153.0
1026,152.0
1027,151.0
1028,152.0
1029,153.0
1030,155.0
1031,156.0
1032,157.0
1033,157.0
1034,157.0
1035,158.0
1036,159.0
1037,159.0
1038,159.0
1039,158.0
1040,159.0
1041,159.0
1042,160.0
1043,160.0
1044,161.0
1045,162.0
1046,162.0
1047,162.0
1048,160.0
1049,157.0
