,0
1187,149
1188,146
1189,147
1190,150
1191,152
1192,153
1193,153
1194,155
1195,154
1196,153
1197,152
1198,151
1199,150
1200,149
1201,148
1202,147
1203,147
1204,147
1205,143
1206,144
1207,144
1208,142
1209,139
1210,138
1211,133
1212,128
1213,127
1214,126
1215,119
1216,118
1217,121
1218,120
1219,118
1220,116
1221,107
1222,105
1223,103
1224,109
1225,113
1226,115
1227,117
1228,123
1229,128
1230,125
1231,124
1232,125
1233,124
1234,122
1235,122
1236,121
1237,117
1238,116
1239,115
1240,116
1241,117
1242,111
1243,110
1244,113
1245,113
1246,115
1247,114
1248,116
1249,115
1250,97
1251,97
1252,106
1253,112
1254,113
1255,120
1256,125
1257,127
1258,131
1259,130
1260,126
1261,123
1262,121
1263,122
1264,121
1265,121
1266,121
1267,121
1268,121
1269,123
1270,125
1271,125
1272,127
1273,127
1274,124
1275,121
1276,119
1277,110
1278,104
1279,103
1280,102
1281,88
1282,86
1283,84
1284,83
1285,82
1286,81
1287,80
1288,80
1289,81
1290,83
1291,83
1292,85
1293,87
1294,88
1295,90
1296,93
1297,107
1298,111
1299,113
1300,111
1301,109
1302,114
1303,116
1304,112
1305,114
1306,119
1307,122
1308,120
1309,114
1310,114
1311,114
1312,110
1313,108
1314,108
1315,111
1316,110
1317,107
1318,98
1319,96
1320,97
1321,91
1322,90
1323,87
1324,89
1325,94
1326,98
1327,101
1328,107
1329,107
1330,106
1331,116
1332,122
1333,128
1334,133
1335,137
1336,139
1337,144
1338,144
1339,144
1340,144
1341,144
1342,149
1343,150
1344,153
1345,154
1346,154
1347,153
1348,151
1349,149
1350,149
1351,149
1352,145
1353,145
1354,146
1355,146
1356,146
1357,146
1358,146
1359,145
1360,144
1361,144
1362,141
1363,139
1364,135
1365,134
1366,139
1367,140
1368,137
1369,133
1370,134
1371,138
1372,142
1373,149
1374,155
1375,160
1376,164
1377,163
1378,160
1379,157
1380,156
1381,148
1382,147
1383,147
1384,147
1385,147
1386,146
1387,145
1388,144
1389,142
1390,141
1391,132
1392,130
1393,135
1394,137
1395,137
1396,134
1397,129
1398,132
1399,126
1400,127
1401,130
1402,128
1403,121
1404,115
1405,117
1406,120
1407,122
1408,123
1409,108
1410,108
1411,115
1412,121
1413,118
1414,115
1415,111
1416,100
1417,98
1418,99
1419,90
1420,95
1421,102
1422,109
1423,114
1424,108
1425,109
1426,110
1427,108
1428,112
1429,114
1430,116
1431,119
1432,125
1433,136
1434,144
1435,147
1436,148
1437,146
1438,146
1439,149
1440,151
1441,155
1442,157
1443,157
1444,156
1445,153
1446,151
1447,149
1448,146
1449,145
1450,143
1451,142
1452,139
1453,138
1454,138
1455,137
1456,137
1457,133
1458,132
1459,135
1460,138
1461,142
1462,143
1463,142
1464,141
1465,143
1466,147
1467,149
1468,159
1469,161
1470,167
1471,167
1472,163
1473,158
1474,153
1475,139
1476,136
1477,138
1478,139
1479,138
1480,136
1481,135
1482,132
1483,129
1484,131
1485,133
1486,133
1487,130
1488,124
1489,117
1490,115
1491,115
1492,109
1493,107
1494,104
1495,100
1496,99
1497,97
1498,95
1499,93
1500,95
1501,97
1502,96
1503,95
1504,96
1505,97
1506,97
1507,100
1508,100
1509,100
1510,102
1511,111
1512,117
1513,121
1514,127
1515,127
1516,126
1517,123
1518,124
1519,130
1520,139
1521,147
1522,152
1523,154
1524,161
1525,165
1526,166
1527,169
1528,168
1529,165
1530,163
1531,161
1532,157
1533,155
1534,135
1535,133
1536,133
1537,134
1538,134
1539,130
1540,127
1541,123
1542,120
1543,121
1544,121
1545,121
1546,120
1547,118
1548,115
1549,113
1550,109
1551,103
1552,99
1553,94
1554,90
1555,90
1556,89
1557,89
1558,90
1559,89
1560,88
1561,87
1562,86
1563,88
1564,89
1565,94
1566,93
1567,92
1568,94
1569,96
1570,95
1571,91
1572,89
1573,89
1574,88
1575,87
1576,84
1577,82
1578,83
1579,86
1580,92
1581,92
1582,109
1583,117
1584,120
1585,116
1586,118
1587,125
1588,133
1589,147
1590,150
1591,156
1592,162
1593,168
1594,170
1595,173
1596,175
1597,179
1598,180
1599,181
1600,181
1601,178
1602,173
1603,168
1604,164
1605,159
1606,157
1607,154
1608,150
1609,148
1610,147
1611,144
1612,139
1613,134
1614,129
1615,127
1616,125
1617,122
1618,117
1619,116
1620,117
1621,109
1622,108
1623,109
1624,108
1625,104
1626,101
1627,88
1628,87
1629,86
1630,86
1631,85
1632,85
1633,84
1634,84
1635,85
1636,86
1637,88
1638,89
1639,90
1640,93
1641,104
1642,109
1643,110
1644,108
1645,94
1646,93
1647,93
1648,97
1649,99
1650,102
1651,110
1652,119
1653,122
1654,124
1655,117
1656,115
1657,112
1658,113
1659,114
1660,115
1661,113
1662,107
1663,105
1664,99
1665,100
1666,99
1667,97
1668,93
1669,93
1670,95
1671,95
1672,96
1673,99
1674,98
1675,100
1676,106
1677,108
1678,108
1679,108
1680,112
1681,116
1682,114
1683,114
1684,115
1685,118
1686,120
1687,115
1688,114
1689,117
1690,119
1691,115
1692,111
1693,113
1694,117
1695,121
1696,118
1697,107
1698,109
1699,118
1700,121
1701,124
1702,123
1703,121
1704,122
1705,123
1706,120
1707,119
1708,120
1709,121
1710,115
1711,100
1712,92
1713,107
1714,115
1715,121
1716,123
1717,124
1718,125
1719,124
1720,124
1721,123
1722,121
1723,117
1724,113
1725,113
1726,113
1727,114
1728,114
1729,117
1730,119
1731,118
1732,120
1733,122
1734,124
1735,120
1736,115
1737,116
1738,119
1739,119
1740,112
1741,108
1742,109
1743,110
1744,96
1745,93
1746,90
1747,98
1748,97
1749,97
1750,91
1751,87
1752,85
1753,83
1754,82
1755,81
1756,81
