,0
271,102.0
272,100.0
273,99.0
274,101.0
275,97.0
276,94.0
277,95.0
278,98.0
279,96.0
280,98.0
281,95.0
282,98.0
283,98.0
284,120.0
285,120.0
286,114.0
287,108.0
288,101.0
289,102.0
290,106.0
291,106.0
292,106.0
293,106.0
294,106.0
295,106.0
296,106.0
297,98.0
298,92.0
299,92.0
300,98.0
301,104.0
302,110.0
303,116.0
304,116.0
305,110.0
306,116.0
307,122.0
308,123.0
309,117.0
310,111.0
311,105.0
312,108.0
313,104.0
314,108.0
315,113.0
316,107.0
317,114.0
318,114.0
319,108.0
320,108.0
321,114.0
322,114.0
323,120.0
324,114.0
325,120.0
326,126.0
327,120.0
328,110.0
329,111.0
330,111.0
331,114.0
332,114.0
333,121.0
334,122.0
335,119.0
336,124.0
337,124.0
338,122.0
339,115.0
340,109.0
341,115.0
342,122.0
343,128.0
344,122.0
345,122.0
346,115.0
347,115.0
348,113.0
349,112.0
350,118.0
351,119.0
352,122.0
353,123.0
354,122.0
355,118.0
356,118.0
357,118.0
358,120.0
359,123.0
360,122.0
361,116.0
362,110.0
363,111.0
364,109.0
365,110.0
366,113.0
367,114.0
368,111.0
369,109.0
370,87.0
371,88.0
372,88.0
373,87.0
374,84.0
375,81.0
376,75.0
377,69.0
378,75.0
379,81.0
380,76.0
381,80.0
382,81.0
383,82.0
384,87.0
385,90.0
386,92.0
387,89.0
388,85.0
389,80.0
390,74.0
391,73.0
392,77.0
393,77.0
394,82.0
395,76.0
396,73.0
397,79.0
398,82.0
399,85.0
400,87.0
401,83.0
402,78.0
403,79.0
404,84.0
405,84.0
406,81.0
407,77.0
408,83.0
409,89.0
410,83.0
411,83.0
412,87.0
413,89.0
414,88.0
415,90.0
416,94.0
417,96.0
418,91.0
419,90.0
420,92.0
421,89.0
422,88.0
423,91.0
424,94.0
425,91.0
426,91.0
427,85.0
428,85.0
429,84.0
430,83.0
431,87.0
432,95.0
433,97.0
434,97.0
435,91.0
436,91.0
437,85.0
438,91.0
439,97.0
440,99.0
441,94.0
442,93.0
443,91.0
444,95.0
445,89.0
446,83.0
447,83.0
448,90.0
449,96.0
450,101.0
451,95.0
452,89.0
453,89.0
454,95.0
455,101.0
456,101.0
457,101.0
458,95.0
459,101.0
460,107.0
461,101.0
462,95.0
463,101.0
464,107.0
465,116.0
466,122.0
467,116.0
468,110.0
469,104.0
470,104.0
471,104.0
472,110.0
473,110.0
474,99.0
475,105.0
476,111.0
477,105.0
478,99.0
479,99.0
480,106.0
481,113.0
482,119.0
483,113.0
484,107.0
485,101.0
486,95.0
487,101.0
488,101.0
489,101.0
490,107.0
491,106.0
492,100.0
493,100.0
494,94.0
495,100.0
496,107.0
497,113.0
498,113.0
499,107.0
500,109.0
501,111.0
502,112.0
503,108.0
504,111.0
505,110.0
506,115.0
507,87.0
508,84.0
509,84.0
510,90.0
511,90.0
512,97.0
513,95.0
514,91.0
515,97.0
516,98.0
517,98.0
518,102.0
519,101.0
520,99.0
521,100.0
522,98.0
523,91.0
524,85.0
525,83.0
526,83.0
527,85.0
528,86.0
529,86.0
530,85.0
531,87.0
532,87.0
533,82.0
534,88.0
535,94.0
536,87.0
537,90.0
538,91.0
539,89.0
540,93.0
541,89.0
542,96.0
543,96.0
544,102.0
545,102.0
546,108.0
547,110.0
548,110.0
549,109.0
550,103.0
551,99.0
552,96.0
553,96.0
554,97.0
555,97.0
556,96.0
557,102.0
558,107.0
559,106.0
560,105.0
561,109.0
562,110.0
563,109.0
564,113.0
565,113.0
566,113.0
567,113.0
568,113.0
569,107.0
570,107.0
571,101.0
572,100.0
573,94.0
574,94.0
575,93.0
576,99.0
577,107.0
578,115.0
579,122.0
580,130.0
581,137.0
582,143.0
583,137.0
