accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
-0.0204925537109375,-0.00433349609375,-0.9865264892578124
-0.021942138671875,-0.0053253173828125,-0.9814453125
-0.0228424072265625,-0.00433349609375,-0.983978271484375
-0.0244903564453125,-0.0058746337890625,-0.98797607421875
-0.02374267578125,-0.0058135986328125,-0.9873199462890624
-0.025146484375,-0.0060577392578125,-0.9882965087890624
-0.0249176025390625,-0.005889892578125,-0.9895782470703124
-0.0247955322265625,-0.006134033203125,-0.98828125
-0.024322509765625,-0.0057373046875,-0.989288330078125
-0.0241241455078125,-0.005767822265625,-0.9881134033203124
-0.024017333984375,-0.005828857421875,-0.987548828125
-0.0249481201171875,-0.0057373046875,-0.9881591796875
-0.025787353515625,-0.005462646484375,-0.9853057861328124
-0.0239715576171875,-0.006195068359375,-0.989349365234375
-0.025421142578125,-0.0045928955078125,-0.9815826416015624
-0.0258026123046875,-0.0074005126953125,-0.9923095703125
-0.0268096923828125,-0.0068206787109375,-0.9887237548828124
-0.0243072509765625,-0.006988525390625,-0.9923553466796876
-0.02203369140625,-0.0060272216796875,-0.9907684326171876
-0.0241546630859375,-0.00531005859375,-0.988006591796875
-0.0235443115234375,-0.006256103515625,-0.9904937744140624
-0.0244903564453125,-0.0065460205078125,-0.9891815185546876
-0.026641845703125,-0.0062255859375,-0.9891815185546876
-0.0245513916015625,-0.005767822265625,-0.98895263671875
-0.0245361328125,-0.0050201416015625,-0.9857635498046876
-0.02313232421875,-0.006195068359375,-0.991241455078125
-0.024566650390625,-0.0050506591796875,-0.9849700927734376
-0.0240478515625,-0.0054779052734375,-0.9864654541015624
-0.0250396728515625,-0.00555419921875,-0.98834228515625
-0.0247802734375,-0.004852294921875,-0.9849395751953124
-0.0237884521484375,-0.0056915283203125,-0.9889068603515624
-0.0240325927734375,-0.0056304931640625,-0.986724853515625
-0.0244598388671875,-0.0062255859375,-0.9873504638671876
-0.0240936279296875,-0.004974365234375,-0.98956298828125
-0.02459716796875,-0.00567626953125,-0.98779296875
-0.024322509765625,-0.0058441162109375,-0.98748779296875
-0.0250091552734375,-0.005523681640625,-0.985870361328125
-0.0240325927734375,-0.00616455078125,-0.98980712890625
-0.0235443115234375,-0.0052642822265625,-0.986541748046875
-0.0247039794921875,-0.006439208984375,-0.9887542724609376
-0.0243072509765625,-0.0059967041015625,-0.9864349365234376
-0.025299072265625,-0.005645751953125,-0.9875640869140624
-0.023101806640625,-0.004791259765625,-0.9873504638671876
-0.02386474609375,-0.0063934326171875,-0.9926910400390624
-0.0264129638671875,-0.0046844482421875,-0.97943115234375
-0.0231475830078125,-0.0079498291015625,-0.9988861083984376
-0.0258331298828125,-0.0045928955078125,-0.982025146484375
-0.0239105224609375,-0.0060272216796875,-0.9888153076171876
-0.0242919921875,-0.00628662109375,-0.9903564453125
-0.0250701904296875,-0.0053253173828125,-0.98248291015625
-0.0238494873046875,-0.0060272216796875,-0.99322509765625
-0.0246429443359375,-0.0055694580078125,-0.9856109619140624
-0.0250244140625,-0.0057373046875,-0.9879150390625
-0.02520751953125,-0.0061798095703125,-0.989715576171875
-0.0242919921875,-0.0055084228515625,-0.9862518310546876
-0.0241851806640625,-0.0058135986328125,-0.988555908203125
-0.02484130859375,-0.0056915283203125,-0.9878692626953124
-0.0237579345703125,-0.0060882568359375,-0.987884521484375
-0.02423095703125,-0.006378173828125,-0.9890594482421876
-0.0247650146484375,-0.006134033203125,-0.9873199462890624
-0.02313232421875,-0.0057220458984375,-0.9882049560546876
-0.024810791015625,-0.0056610107421875,-0.989227294921875
-0.02386474609375,-0.005859375,-0.9878082275390624
-0.0243072509765625,-0.005645751953125,-0.9884033203125
